data,0-9 anni,10-19 anni,20-29 anni,30-39 anni,40-49 anni,50-59 anni,60-69 anni,70-79 anni,80-89 anni,≥90 anni
2020-04-10,26.142857142857142,58.857142857142854,223.57142857142858,280.0,431.7142857142857,538.4285714285714,343.2857142857143,421.42857142857144,827.5714285714286,491.85714285714283
2020-04-11,25.0,54.57142857142857,205.71428571428572,261.2857142857143,418.0,504.2857142857143,333.2857142857143,404.85714285714283,819.5714285714286,495.85714285714283
2020-04-12,25.142857142857142,52.57142857142857,202.14285714285714,250.0,396.42857142857144,477.42857142857144,314.42857142857144,381.0,792.0,491.42857142857144
2020-04-13,27.0,46.857142857142854,200.0,234.71428571428572,380.42857142857144,452.0,294.2857142857143,346.42857142857144,710.2857142857143,458.14285714285717
2020-04-14,25.428571428571427,44.285714285714285,194.14285714285714,221.28571428571428,367.2857142857143,420.85714285714283,283.42857142857144,337.14285714285717,687.2857142857143,456.0
2020-04-15,27.0,43.142857142857146,188.28571428571428,219.71428571428572,357.2857142857143,411.85714285714283,275.0,328.85714285714283,671.8571428571429,437.85714285714283
2020-04-16,27.428571428571427,46.42857142857143,194.71428571428572,235.57142857142858,379.85714285714283,434.85714285714283,284.7142857142857,332.57142857142856,681.8571428571429,448.42857142857144
2020-04-17,27.285714285714285,47.42857142857143,199.42857142857142,229.0,379.14285714285717,425.57142857142856,277.85714285714283,327.0,680.4285714285714,444.57142857142856
2020-04-18,29.0,45.57142857142857,194.71428571428572,218.85714285714286,357.2857142857143,406.2857142857143,250.14285714285714,301.57142857142856,625.7142857142857,416.57142857142856
2020-04-19,27.857142857142858,44.57142857142857,184.85714285714286,208.0,336.14285714285717,388.85714285714283,235.57142857142858,291.85714285714283,602.5714285714286,397.85714285714283
2020-04-20,26.285714285714285,48.142857142857146,175.28571428571428,201.0,319.7142857142857,367.85714285714283,226.0,281.42857142857144,583.7142857142857,379.42857142857144
2020-04-21,26.285714285714285,47.714285714285715,166.85714285714286,196.42857142857142,303.42857142857144,355.14285714285717,214.42857142857142,261.7142857142857,544.4285714285714,353.7142857142857
2020-04-22,24.142857142857142,49.57142857142857,167.0,193.14285714285714,303.85714285714283,351.7142857142857,211.71428571428572,253.85714285714286,519.0,343.42857142857144
2020-04-23,24.142857142857142,50.285714285714285,159.57142857142858,183.42857142857142,283.7142857142857,337.0,197.14285714285714,237.28571428571428,479.14285714285717,318.7142857142857
2020-04-24,23.857142857142858,49.714285714285715,151.42857142857142,176.28571428571428,267.14285714285717,324.0,186.28571428571428,225.57142857142858,446.42857142857144,300.42857142857144
2020-04-25,22.142857142857142,49.285714285714285,146.28571428571428,173.0,263.42857142857144,324.2857142857143,183.28571428571428,221.0,431.7142857142857,296.85714285714283
2020-04-26,20.714285714285715,47.57142857142857,141.85714285714286,173.28571428571428,264.57142857142856,326.42857142857144,180.42857142857142,207.42857142857142,394.57142857142856,276.2857142857143
2020-04-27,18.571428571428573,42.714285714285715,128.14285714285714,156.28571428571428,232.28571428571428,290.85714285714283,157.85714285714286,180.42857142857142,344.42857142857144,245.71428571428572
2020-04-28,18.285714285714285,42.142857142857146,125.71428571428571,150.14285714285714,221.28571428571428,280.57142857142856,151.0,169.85714285714286,324.42857142857144,221.42857142857142
2020-04-29,19.285714285714285,39.142857142857146,119.28571428571429,145.14285714285714,211.85714285714286,269.14285714285717,145.71428571428572,162.14285714285714,311.57142857142856,208.42857142857142
2020-04-30,18.571428571428573,36.57142857142857,114.85714285714286,136.14285714285714,202.42857142857142,258.85714285714283,141.42857142857142,153.71428571428572,297.7142857142857,197.0
2020-05-01,18.142857142857142,36.857142857142854,108.28571428571429,129.71428571428572,190.71428571428572,244.42857142857142,134.0,138.71428571428572,269.42857142857144,186.42857142857142
2020-05-02,18.714285714285715,37.0,99.14285714285714,125.14285714285714,175.85714285714286,230.0,124.85714285714286,126.14285714285714,239.0,154.42857142857142
2020-05-03,19.571428571428573,36.857142857142854,93.28571428571429,111.28571428571429,156.57142857142858,211.14285714285714,112.71428571428571,112.28571428571429,213.42857142857142,138.0
2020-05-04,20.285714285714285,40.142857142857146,98.14285714285714,119.85714285714286,166.57142857142858,224.28571428571428,122.0,114.85714285714286,206.71428571428572,134.14285714285714
2020-05-05,19.857142857142858,40.285714285714285,95.0,118.0,165.71428571428572,215.14285714285714,116.0,108.57142857142857,198.57142857142858,128.57142857142858
2020-05-06,18.714285714285715,39.714285714285715,94.42857142857143,116.0,163.0,214.57142857142858,113.14285714285714,103.0,192.85714285714286,126.14285714285714
2020-05-07,18.571428571428573,39.142857142857146,89.57142857142857,109.85714285714286,154.57142857142858,202.42857142857142,104.14285714285714,95.42857142857143,170.28571428571428,114.14285714285714
2020-05-08,18.428571428571427,36.42857142857143,84.28571428571429,102.14285714285714,146.14285714285714,193.57142857142858,96.71428571428571,85.28571428571429,149.85714285714286,96.28571428571429
2020-05-09,16.428571428571427,32.714285714285715,78.0,92.57142857142857,137.14285714285714,174.85714285714286,91.28571428571429,80.28571428571429,137.42857142857142,89.42857142857143
2020-05-10,16.0,31.857142857142858,75.85714285714286,92.0,127.14285714285714,155.42857142857142,83.57142857142857,74.42857142857143,125.71428571428571,78.57142857142857
2020-05-11,14.857142857142858,27.0,71.0,82.71428571428571,115.14285714285714,140.85714285714286,74.42857142857143,67.71428571428571,114.14285714285714,68.71428571428571
2020-05-12,14.285714285714286,25.857142857142858,69.85714285714286,80.28571428571429,109.57142857142857,141.85714285714286,72.85714285714286,67.28571428571429,110.0,66.85714285714286
2020-05-13,14.285714285714286,25.285714285714285,70.14285714285714,81.0,108.28571428571429,136.85714285714286,73.0,68.14285714285714,108.85714285714286,67.28571428571429
2020-05-14,13.0,23.0,68.71428571428571,79.28571428571429,105.85714285714286,130.57142857142858,70.57142857142857,65.14285714285714,103.71428571428571,62.285714285714285
2020-05-15,11.714285714285714,21.285714285714285,66.14285714285714,78.57142857142857,101.28571428571429,124.57142857142857,69.14285714285714,65.57142857142857,97.42857142857143,58.714285714285715
2020-05-16,10.714285714285714,21.428571428571427,63.42857142857143,76.28571428571429,98.14285714285714,122.71428571428571,67.0,61.285714285714285,88.28571428571429,54.42857142857143
2020-05-17,10.285714285714286,19.142857142857142,56.142857142857146,72.42857142857143,95.0,115.14285714285714,67.28571428571429,59.857142857142854,79.28571428571429,49.142857142857146
2020-05-18,11.571428571428571,20.142857142857142,54.285714285714285,70.71428571428571,95.57142857142857,112.71428571428571,67.0,56.42857142857143,74.42857142857143,45.714285714285715
2020-05-19,11.428571428571429,19.571428571428573,50.42857142857143,67.85714285714286,92.28571428571429,104.14285714285714,64.14285714285714,52.714285714285715,68.14285714285714,42.142857142857146
2020-05-20,10.714285714285714,18.571428571428573,49.285714285714285,64.0,89.14285714285714,102.57142857142857,62.142857142857146,50.0,64.42857142857143,40.42857142857143
2020-05-21,10.714285714285714,18.714285714285715,48.714285714285715,61.285714285714285,83.42857142857143,100.57142857142857,63.42857142857143,48.42857142857143,57.714285714285715,38.0
2020-05-22,10.857142857142858,17.714285714285715,47.142857142857146,58.285714285714285,80.0,95.14285714285714,62.57142857142857,47.0,54.0,32.57142857142857
2020-05-23,10.571428571428571,17.285714285714285,44.42857142857143,55.142857142857146,74.85714285714286,91.28571428571429,62.57142857142857,46.857142857142854,50.857142857142854,30.0
2020-05-24,10.857142857142858,17.428571428571427,45.714285714285715,50.42857142857143,72.28571428571429,89.71428571428571,61.0,44.285714285714285,48.57142857142857,28.428571428571427
2020-05-25,9.857142857142858,15.428571428571429,41.714285714285715,46.857142857142854,65.28571428571429,80.42857142857143,55.0,42.57142857142857,42.857142857142854,26.142857142857142
2020-05-26,9.142857142857142,14.714285714285714,41.142857142857146,47.285714285714285,63.714285714285715,78.0,56.285714285714285,41.0,39.714285714285715,24.857142857142858
2020-05-27,8.714285714285714,15.571428571428571,39.57142857142857,46.857142857142854,62.57142857142857,74.42857142857143,55.0,40.57142857142857,40.285714285714285,24.0
2020-05-28,9.285714285714286,15.142857142857142,36.142857142857146,45.285714285714285,59.714285714285715,68.71428571428571,51.857142857142854,39.142857142857146,41.142857142857146,21.428571428571427
2020-05-29,7.428571428571429,13.571428571428571,30.0,36.0,49.714285714285715,56.142857142857146,43.285714285714285,32.857142857142854,35.714285714285715,18.428571428571427
2020-05-30,7.0,13.571428571428571,28.857142857142858,33.142857142857146,46.285714285714285,51.142857142857146,38.857142857142854,30.0,34.142857142857146,16.428571428571427
2020-05-31,5.857142857142857,12.571428571428571,27.857142857142858,30.142857142857142,43.57142857142857,48.142857142857146,35.285714285714285,30.428571428571427,31.142857142857142,12.285714285714286
2020-06-01,6.428571428571429,13.571428571428571,27.428571428571427,29.571428571428573,43.142857142857146,46.0,36.285714285714285,29.714285714285715,33.57142857142857,11.142857142857142
2020-06-02,6.428571428571429,12.857142857142858,26.571428571428573,27.142857142857142,42.0,43.57142857142857,32.857142857142854,30.0,32.57142857142857,11.285714285714286
2020-06-03,6.857142857142857,12.857142857142858,26.857142857142858,27.571428571428573,41.285714285714285,44.285714285714285,32.142857142857146,30.428571428571427,31.142857142857142,11.142857142857142
2020-06-04,6.0,12.428571428571429,26.0,27.0,39.857142857142854,43.57142857142857,29.714285714285715,30.714285714285715,27.714285714285715,10.857142857142858
